"Time","image-filter-cfbfd9b5f-k58vn"
2025-07-07 16:28:50,0.000642 cores
2025-07-07 16:28:51,0.000642 cores
2025-07-07 16:28:52,0.000642 cores
2025-07-07 16:28:53,0.000642 cores
2025-07-07 16:28:54,0.000642 cores
2025-07-07 16:28:55,0.000642 cores
2025-07-07 16:28:56,0.000642 cores
2025-07-07 16:28:57,0.000642 cores
2025-07-07 16:28:58,0.000642 cores
2025-07-07 16:28:59,0.000642 cores
2025-07-07 16:29:00,0.000642 cores
