"Time","image-stats-746c9bfb67-ttxt9"
2025-07-07 15:24:32,0.000945 cores
2025-07-07 15:24:34,0.000945 cores
2025-07-07 15:24:36,0.000945 cores
2025-07-07 15:24:38,0.000945 cores
2025-07-07 15:24:40,0.000945 cores
2025-07-07 15:24:42,0.000945 cores
2025-07-07 15:24:44,0.000945 cores
2025-07-07 15:24:46,0.000944 cores
2025-07-07 15:24:48,0.000955 cores
2025-07-07 15:24:50,0.000955 cores
2025-07-07 15:24:52,0.000955 cores
2025-07-07 15:24:54,0.000955 cores
2025-07-07 15:24:56,0.000955 cores
2025-07-07 15:24:58,0.000735 cores
2025-07-07 15:25:00,0.000619 cores
2025-07-07 15:25:02,0.000808 cores
2025-07-07 15:25:04,0.000947 cores
2025-07-07 15:25:06,0.000947 cores
2025-07-07 15:25:08,0.000947 cores
2025-07-07 15:25:10,0.000947 cores
2025-07-07 15:25:12,0.000947 cores
2025-07-07 15:25:14,0.000949 cores
2025-07-07 15:25:16,0.000949 cores
2025-07-07 15:25:18,0.000949 cores
2025-07-07 15:25:20,0.000949 cores
2025-07-07 15:25:22,0.000949 cores
2025-07-07 15:25:24,0.000949 cores
2025-07-07 15:25:26,0.000949 cores
2025-07-07 15:25:28,0.000942 cores
2025-07-07 15:25:30,0.000942 cores
2025-07-07 15:25:32,0.000942 cores
2025-07-07 15:25:34,0.000942 cores
2025-07-07 15:25:36,0.000942 cores
2025-07-07 15:25:38,0.000942 cores
2025-07-07 15:25:40,0.000942 cores
2025-07-07 15:25:42,0.000802 cores
2025-07-07 15:25:44,0.000770 cores
2025-07-07 15:25:46,0.000940 cores
2025-07-07 15:25:48,0.000940 cores
2025-07-07 15:25:50,0.000940 cores
2025-07-07 15:25:52,0.000940 cores
2025-07-07 15:25:54,0.000940 cores
2025-07-07 15:25:56,0.000940 cores
2025-07-07 15:25:58,0.000937 cores
2025-07-07 15:26:00,0.000937 cores
2025-07-07 15:26:02,0.000931 cores
2025-07-07 15:26:04,0.000931 cores
2025-07-07 15:26:06,0.000931 cores
2025-07-07 15:26:08,0.000931 cores
2025-07-07 15:26:10,0.000931 cores
2025-07-07 15:26:12,0.000931 cores
2025-07-07 15:26:14,0.000979 cores
2025-07-07 15:26:16,0.000979 cores
